,BuildingType,PrimaryPropertyType,PropertyName,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,ENERGYSTARScore,Latitude,Longitude,TotalGHGEmissions,SiteEnergyUse(kBtu)
5673,NonResidential,Warehouse,(ID25278) 4400 BUILDING,2,greater duwamish,1956,1.0,1.0,0,39984,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,31184.0,75.0,47.564240000000005,-122.32902,36.82,1073156.375
5674,Multifamily LR (1-4),Low-Rise Multifamily,Lake City Way,5,north,1997,1.0,4.0,0,55977,"Multifamily Housing, Office, Parking",Multifamily Housing,39433.0,99.0,47.7095,-122.30032,7.11,1019830.375
5675,Multifamily LR (1-4),Low-Rise Multifamily,Martin Luther King Jr Apartments,2,greater duwamish,1968,1.0,2.0,0,91907,Multifamily Housing,Multifamily Housing,91907.0,57.0,47.530840000000005,-122.28114,61.86,3600532.5
5676,Multifamily LR (1-4),Low-Rise Multifamily,Maria Chalet,5,northwest,1978,1.0,4.0,0,20844,Multifamily Housing,,,,47.699909999999996,-122.35498,3.9,559718.125
5677,Multifamily LR (1-4),Low-Rise Multifamily,Mercer Court Apartments,3,east,1998,1.0,3.0,0,26578,"Multifamily Housing, Parking",Multifamily Housing,18581.0,64.0,47.62413,-122.31698,23.9,917728.375
5678,SPS-District K-12,K-12 School,Lowell Elementary,3,east,1925,1.0,2.0,0,73769,K-12 School,K-12 School,73769.0,92.0,47.62442,-122.31838,94.85,2556131.0
5679,Multifamily LR (1-4),Low-Rise Multifamily,Reunion House,3,east,1984,1.0,4.0,0,24620,Multifamily Housing,Multifamily Housing,24620.0,5.0,47.62397,-122.31962,7.28,1044216.813
5680,Multifamily LR (1-4),Low-Rise Multifamily,Swansonia Apartments,3,east,1925,1.0,3.0,0,21512,Multifamily Housing,Multifamily Housing,16379.0,74.0,47.621759999999995,-122.31913,18.65,754241.3125
5681,Multifamily LR (1-4),Low-Rise Multifamily,The Harrison,3,east,1900,1.0,3.0,0,32960,Multifamily Housing,Multifamily Housing,32960.0,100.0,47.621759999999995,-122.31958,36.15,804620.5
5682,NonResidential,Worship Facility,All Pilgrims Christian Church,3,east,1906,1.0,1.0,0,26440,Worship Facility,Worship Facility,26440.0,91.0,47.62322037,-122.32001699999999,27.93,719905.1875
5683,Multifamily LR (1-4),Low-Rise Multifamily,Portage Bayshore Condominium,3,northeast,1958,1.0,4.0,0,21312,"Multifamily Housing, Parking",Multifamily Housing,21312.0,39.0,47.642509999999994,-122.3149,6.02,863728.8125
5684,Multifamily MR (5-9),Mid-Rise Multifamily,Portal Over Lake Union,7,magnolia / queen anne,2004,1.0,5.0,0,71592,"Multifamily Housing, Parking",Multifamily Housing,59625.0,64.0,47.63709,-122.3438,37.18,2360288.5
5685,Multifamily LR (1-4),Low-Rise Multifamily,Interlake Place,4,lake union,1990,1.0,3.0,0,21871,"Multifamily Housing, Other, Parking, Retail Store",Multifamily Housing,10608.0,,47.664120000000004,-122.34021000000001,5.42,777587.125
5686,Multifamily LR (1-4),Low-Rise Multifamily,Trinity Stonehedge LLC,4,lake union,2007,1.0,4.0,0,158180,"Multifamily Housing, Parking, Retail Store",Multifamily Housing,45565.0,95.0,47.661640000000006,-122.34246999999999,22.81,1459246.5
5687,Multifamily MR (5-9),Mid-Rise Multifamily,Portofino,3,east,1919,1.0,5.0,0,40281,Multifamily Housing,Multifamily Housing,32092.0,30.0,47.61499,-122.32591000000001,7.1,1017787.125
5688,Multifamily LR (1-4),Low-Rise Multifamily,Olympic Park Condominiums,1,southwest,1981,1.0,4.0,0,42084,Multifamily Housing,Multifamily Housing,37183.0,76.0,47.51715,-122.37647,7.03,1008536.813
5689,Multifamily MR (5-9),Mid-Rise Multifamily,Olympic Plaza Condominium,7,magnolia / queen anne,1968,1.0,5.0,3198,19828,"Multifamily Housing, Parking",Multifamily Housing,21107.0,,47.628009999999996,-122.36626000000001,3.92,562486.3125
5690,Multifamily MR (5-9),Mid-Rise Multifamily,111 Highland,7,magnolia / queen anne,1974,1.0,9.0,0,53820,Multifamily Housing,Multifamily Housing,53820.0,,47.62936,-122.35858999999999,66.1,2842760.0
5691,Multifamily HR (10+),High-Rise Multifamily,One Pacific Towers,7,downtown,1994,1.0,27.0,0,191427,"Multifamily Housing, Parking, Retail Store",Multifamily Housing,162769.0,7.0,47.61146,-122.34263999999999,269.03,9593739.0
5692,Multifamily LR (1-4),Low-Rise Multifamily,One Sixty Lee Street Condominium,7,magnolia / queen anne,1988,1.0,3.0,0,22392,"Multifamily Housing, Parking",Multifamily Housing,22392.0,97.0,47.63132,-122.35421000000001,3.27,468973.5938
5693,Multifamily LR (1-4),Low-Rise Multifamily,One West Condominiums,1,southwest,1984,1.0,4.0,0,26261,Multifamily Housing,Multifamily Housing,26261.0,100.0,47.55728,-122.38646000000001,1.39,200056.5938
5694,Multifamily LR (1-4),Low-Rise Multifamily,Wedgewood Estates,4,northeast,1948,4.0,2.0,0,233540,"Multifamily Housing, Parking, Swimming Pool",Multifamily Housing,166885.0,64.0,47.6836,-122.28746000000001,120.24,6481807.5
5695,SPS-District K-12,K-12 School,Decatur Building,4,northeast,1961,1.0,1.0,0,43578,K-12 School,K-12 School,45370.0,83.0,47.68503,-122.28267,24.63,1436773.875
5696,Multifamily MR (5-9),Mid-Rise Multifamily,Onyx Condominium,3,east,2001,1.0,6.0,0,65867,"Multifamily Housing, Parking, Retail Store",Multifamily Housing,51941.0,,47.61625,-122.31726,10.9,1563834.25
5697,NonResidential,Self-Storage Facility,Seattle Self Storage,3,greater duwamish,1956,1.0,2.0,0,28800,Self-Storage Facility,Self-Storage Facility,28800.0,,47.592909999999996,-122.31042,29.44,1143826.625
5698,Multifamily HR (10+),High-Rise Multifamily,The Vine Building HOA,7,downtown,2002,1.0,12.0,0,205779,"Multifamily Housing, Parking, Retail Store",Multifamily Housing,160722.0,50.0,47.61477,-122.35128999999999,283.04,9686734.0
5699,NonResidential,K-12 School,Epiphany School,3,central,2009,4.0,2.0,0,28500,K-12 School,K-12 School,31100.0,92.0,47.617909999999995,-122.28594,28.64,1162561.125
5700,Multifamily LR (1-4),Low-Rise Multifamily,Eagle Court,3,central,1968,0.0,3.0,0,29581,"Multifamily Housing, Parking",Multifamily Housing,24882.0,85.0,47.60583,-122.30421000000001,21.44,869100.875
5701,Multifamily LR (1-4),Low-Rise Multifamily,North Roosevelt Apartments,4,northeast,1968,1.0,4.0,0,24288,Multifamily Housing,Multifamily Housing,24288.0,62.0,47.68037,-122.31785,4.55,652989.8125
5702,Multifamily MR (5-9),Mid-Rise Multifamily,"Market Court, a Condomium",7,downtown,1989,1.0,7.0,0,87645,"Multifamily Housing, Parking, Retail Store",Multifamily Housing,60501.0,95.0,47.61123,-122.34446000000001,40.05,2184156.5
5703,Multifamily HR (10+),High-Rise Multifamily,Market Place North,7,downtown,1982,1.0,21.0,0,185506,"Multifamily Housing, Retail Store",Multifamily Housing,125212.0,1.0,47.61124,-122.34338999999999,106.37,11224871.0
5704,Multifamily HR (10+),High-Rise Multifamily,The Marlborough,3,east,1927,1.0,12.0,12960,82320,"Multifamily Housing, Parking",Multifamily Housing,82320.0,,47.61137,-122.32668999999999,281.25,4970199.0
5705,Multifamily MR (5-9),Mid-Rise Multifamily,Marq Condominium,3,east,2003,1.0,6.0,919,38171,"Multifamily Housing, Parking",Multifamily Housing,34584.0,28.0,47.61875,-122.32703000000001,9.92,1423438.5
5706,Multifamily MR (5-9),Mid-Rise Multifamily,MARSELLE,7,lake union,2009,1.0,7.0,0,138125,Multifamily Housing,Multifamily Housing,114972.0,93.0,47.61933,-122.34413,18.58,2664502.5
5707,Multifamily LR (1-4),Low-Rise Multifamily,Parkside,3,central,1907,1.0,2.0,0,20736,"Multifamily Housing, Other",Multifamily Housing,19200.0,86.0,47.62493,-122.307,3.11,445943.8125
5708,Multifamily LR (1-4),Low-Rise Multifamily,Park,3,central,1909,1.0,3.0,0,29243,"Food Service, Multifamily Housing, Other, Other - Entertainment/Public Assembly, Restaurant, Retail Store",Multifamily Housing,17552.0,,47.624629999999996,-122.30703999999999,55.83,1645031.25
5709,Multifamily MR (5-9),Mid-Rise Multifamily,Matae Belltown Owners Association,7,downtown,2005,1.0,6.0,0,79644,Multifamily Housing,Multifamily Housing,79644.0,55.0,47.61837,-122.35363000000001,14.86,2131817.0
5710,Multifamily MR (5-9),Mid-Rise Multifamily,Velo Apartments,3,east,1966,1.0,6.0,0,46351,Multifamily Housing,Multifamily Housing,40597.0,76.0,47.62487,-122.32768,7.47,1071103.75
5711,Multifamily LR (1-4),Low-Rise Multifamily,Max Apartments,6,northwest,1998,1.0,4.0,6492,30174,"Multifamily Housing, Parking",Multifamily Housing,30174.0,65.0,47.69125,-122.35104,6.02,862945.125
5712,Multifamily MR (5-9),Mid-Rise Multifamily,Maxwell Condominiums,3,east,2000,1.0,5.0,0,44520,Multifamily Housing,Multifamily Housing,44520.0,52.0,47.6189,-122.32318000000001,8.89,1275258.0
5713,Multifamily LR (1-4),Low-Rise Multifamily,Dolphin Apartments,4,northeast,1960,1.0,4.0,0,20884,Multifamily Housing,Multifamily Housing,24696.0,58.0,47.67069,-122.31239,5.67,813152.625
5714,Multifamily LR (1-4),Low-Rise Multifamily,University Park,4,northeast,1978,1.0,4.0,0,31900,Multifamily Housing,Multifamily Housing,27267.0,79.0,47.67058,-122.31275,5.54,794715.6875
5715,Multifamily LR (1-4),Low-Rise Multifamily,Daystar Retirement Village,1,delridge,1990,1.0,2.0,0,89549,Multifamily Housing,Multifamily Housing,89549.0,31.0,47.51996,-122.36712,66.05,3591653.0
5716,Multifamily LR (1-4),Low-Rise Multifamily,Westwood Heights East,1,delridge,1997,2.0,3.0,0,36260,Multifamily Housing,Multifamily Housing,36260.0,68.0,47.51789,-122.36688999999998,7.54,1081985.0
5717,Multifamily LR (1-4),Low-Rise Multifamily,1317 6th Ave N Apartments,7,magnolia / queen anne,1989,1.0,4.0,0,29280,"Multifamily Housing, Parking",Multifamily Housing,24696.0,94.0,47.63107,-122.3454,21.57,781217.875
5718,Multifamily MR (5-9),Mid-Rise Multifamily,The Press,3,east,2001,1.0,6.0,0,119486,Multifamily Housing,Multifamily Housing,119486.0,96.0,47.6156,-122.32415,18.07,2591768.0
5719,NonResidential,Restaurant,Yale Street Landing  and Ocean Alexander,3,lake union,1978,1.0,2.0,0,26519,"Office, Restaurant",Restaurant,13592.0,,47.629020000000004,-122.33173000000001,97.27,3717064.0
5720,NonResidential,Mixed Use Property,Chandler's Cove - SEDO,3,lake union,1988,1.0,2.0,15402,19237,"Other, Parking, Restaurant",Restaurant,23373.0,,47.62774,-122.33384,515.71,15480681.0
5721,NonResidential,Other,Art Marble 21,7,magnolia / queen anne,1921,1.0,2.0,0,26300,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,26300.0,,47.62643,-122.33946,116.94,3537841.5
5722,NonResidential,Restaurant,(ID25461) CHINA HARBOR RESTURANT & MARINA,7,lake union,1962,0.0,2.0,0,34072,Restaurant,Restaurant,34072.0,,47.63734,-122.33988000000001,226.81,6584966.5
5723,NonResidential,Small- and Mid-Sized Office,1848 Building,7,lake union,1949,1.0,3.0,0,23355,Office,Office,21915.0,77.0,47.636140000000005,-122.33981999999999,5.86,840549.375
5724,NonResidential,Small- and Mid-Sized Office,Waterworks Offices + Marina,7,magnolia / queen anne,1965,1.0,4.0,0,30840,"Office, Restaurant",Office,29255.0,30.0,47.63575,-122.33895,101.21,3542708.5
5725,NonResidential,Other,National Barricade Seattle,4,northeast,1946,1.0,1.0,0,20332,Other,Other,20332.0,,47.67642,-122.3035,10.99,392683.6875
5726,Multifamily LR (1-4),Low-Rise Multifamily,Varsity I,4,northeast,2003,1.0,4.0,0,30315,"Multifamily Housing, Other - Recreation, Parking, Restaurant",Multifamily Housing,18823.0,3.0,47.675940000000004,-122.30247,7.86,1128060.75
5727,Multifamily LR (1-4),Low-Rise Multifamily,Varsity II,4,northeast,2005,1.0,4.0,0,30918,"Multifamily Housing, Parking, Restaurant",Multifamily Housing,17322.0,29.0,47.675979999999996,-122.30201000000001,5.88,844000.3125
5728,Multifamily LR (1-4),Low-Rise Multifamily,Ravenna,4,northeast,1978,1.0,3.0,0,20390,Multifamily Housing,Multifamily Housing,20390.0,,47.66768,-122.3037,3.43,492421.9063
5729,Multifamily LR (1-4),Senior Care Community,Ida Culver House Ravenna,4,northeast,1949,1.0,3.0,0,99941,Senior Care Community,Senior Care Community,90383.0,83.0,47.67557,-122.30214,198.59,5867616.0
5730,Multifamily LR (1-4),Low-Rise Multifamily,Saxe,4,northeast,2005,1.0,4.0,0,46137,"Multifamily Housing, Parking",Multifamily Housing,33869.0,93.0,47.67604,-122.30141,28.83,1093836.75
5731,Multifamily LR (1-4),Low-Rise Multifamily,Washington Arms,3,east,1920,1.0,3.0,0,21672,Multifamily Housing,Multifamily Housing,21672.0,,47.6284,-122.31843,64.04,1417728.25
5732,NonResidential,Worship Facility,St. Therese Parish,3,central,1900,1.0,1.0,0,21850,Worship Facility,Worship Facility,21850.0,100.0,47.61118,-122.288,13.09,317794.4063
5733,Multifamily HR (10+),High-Rise Multifamily,Washington Park Tower,3,east,1969,1.0,23.0,0,146102,Multifamily Housing,Multifamily Housing,93651.0,7.0,47.633829999999996,-122.27623999999999,110.02,5235161.5
5734,NonResidential,Mixed Use Property,YouthCare,4,northeast,1997,1.0,4.0,6985,25297,"Multifamily Housing, Office, Other, Parking",Multifamily Housing,12600.0,,47.66827,-122.29978,34.62,1391714.25
5735,Multifamily LR (1-4),Low-Rise Multifamily,WATERFORD NORTH CONDOMINIUM,5,northwest,1987,1.0,4.0,0,36538,Multifamily Housing,Multifamily Housing,38686.0,69.0,47.693999999999996,-122.35348,7.08,1015106.875
5736,Multifamily MR (5-9),Mid-Rise Multifamily,THE WATERFRONT CONDO HOA,1,southwest,1996,1.0,6.0,0,43222,Multifamily Housing,Multifamily Housing,43222.0,96.0,47.59454,-122.38774,5.78,829801.0
5737,Multifamily MR (5-9),Mid-Rise Multifamily,Waterfront Landings,7,downtown,1997,3.0,5.0,0,301229,Multifamily Housing,Multifamily Housing,301229.0,83.0,47.61005,-122.34561000000001,128.22,8976533.0
5738,NonResidential,Large Office,Waterfront Place,7,downtown,1983,1.0,13.0,83064,224493,"Multifamily Housing, Office, Parking, Retail Store",Office,162422.0,,47.604490000000006,-122.33803,66.32,9512829.0
5739,Multifamily HR (10+),High-Rise Multifamily,University Plaza Condominium,4,northeast,1974,1.0,23.0,0,169565,"Multifamily Housing, Parking, Swimming Pool",Multifamily Housing,134565.0,7.0,47.662890000000004,-122.31882,117.64,7325166.0
5740,Multifamily MR (5-9),Mid-Rise Multifamily,Water's Edge,2,southeast,1964,1.0,5.0,0,20967,Multifamily Housing,Multifamily Housing,20967.0,89.0,47.520579999999995,-122.26028000000001,3.4,487015.4063
5741,Multifamily MR (5-9),Mid-Rise Multifamily,Waterside,1,southwest,1994,1.0,6.0,0,44188,Multifamily Housing,Multifamily Housing,44188.0,97.0,47.589459999999995,-122.39376000000001,33.5,1329696.75
5742,NonResidential,Self-Storage Facility,FremontBridgeMini,7,magnolia / queen anne,1918,1.0,2.0,0,28309,Self-Storage Facility,Self-Storage Facility,28309.0,,47.64633,-122.3508,11.85,430308.9063
5743,NonResidential,Hotel,Pioneer Square Hotel,7,downtown,1914,1.0,4.0,0,45500,Hotel,Hotel,45500.0,77.0,47.60154,-122.3352,122.0,2799595.0
5744,NonResidential,Small- and Mid-Sized Office,The Maynard Building,7,downtown,1900,1.0,5.0,0,38376,"Office, Retail Store",Office,29258.0,,47.60106,-122.33458,14.35,2058532.875
5745,Multifamily MR (5-9),Mid-Rise Multifamily,Terry Denny Building/Northern Hotel,7,downtown,1900,0.0,6.0,0,78779,"Multifamily Housing, Parking",Multifamily Housing,78779.0,72.0,47.601279999999996,-122.33456000000001,42.52,1883132.0
5746,NonResidential,Small- and Mid-Sized Office,Gatzert/Schwabacher,7,downtown,1900,1.0,4.0,0,42804,"Office, Retail Store",Office,24120.0,,47.601490000000005,-122.33458,46.53,1544501.75
5747,NonResidential,Mixed Use Property,Compass Housing Alliance - Pioneer Square,7,downtown,2005,0.0,5.0,0,57600,"Financial Office, Multifamily Housing, Parking, Residence Hall/Dormitory",Residence Hall/Dormitory,27600.0,,47.6005,-122.33514,223.36,6983736.0
5748,Multifamily MR (5-9),Mid-Rise Multifamily,OK Hotel,7,downtown,1914,1.0,5.0,0,42534,"Multifamily Housing, Parking",Multifamily Housing,25341.0,84.0,47.60038,-122.33516999999999,57.11,1764409.5
5749,NonResidential,Small- and Mid-Sized Office,New England,7,downtown,1900,1.0,4.0,0,33300,"Office, Restaurant, Retail Store, Self-Storage Facility",Office,26639.0,,47.600229999999996,-122.33458999999999,18.76,1287497.375
5750,NonResidential,Hotel,J & M HOTEL BUILDING (ID25553),7,downtown,1900,1.0,3.0,0,25450,Hotel,Hotel,25450.0,99.0,47.60035,-122.33379,3.51,503744.6875
5751,NonResidential,Other,Alaskan Way,7,downtown,1900,1.0,3.0,0,22200,Other,Other,22200.0,,47.599759999999996,-122.33514,7.05,188745.7031
5752,NonResidential,Warehouse,Nautical Landing,7,magnolia / queen anne,1968,1.0,2.0,0,29498,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,19749.0,,47.64306,-122.34218999999999,50.05,3768900.5
5753,NonResidential,Warehouse,1109 N NORTHLAKE WAY,4,lake union,1938,1.0,1.0,0,23050,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,23050.0,27.0,47.64793,-122.34358,3.25,466672.6875
5754,NonResidential,Small- and Mid-Sized Office,Talon Northlake LLC,4,lake union,2008,1.0,4.0,0,48350,Office,,,45.0,47.64747,-122.34086,22.09,3168131.0
5755,NonResidential,Retail Store,PETCO,4,northeast,1930,1.0,1.0,0,46059,Retail Store,Retail Store,46000.0,82.0,47.66097,-122.3192,20.66,1582655.875
5756,Multifamily LR (1-4),Low-Rise Multifamily,Kelly Anne Apartments,4,northeast,1986,1.0,3.0,0,32331,"Multifamily Housing, Parking",Multifamily Housing,23162.0,97.0,47.65963,-122.31913999999999,4.2,602148.0
5757,Multifamily LR (1-4),Low-Rise Multifamily,Campus View Apartments II,4,northeast,1988,1.0,4.0,0,40152,Multifamily Housing,Multifamily Housing,21100.0,82.0,47.6604,-122.32054,3.65,522880.0938
5758,Multifamily MR (5-9),Mid-Rise Multifamily,Campus View Apartments,4,northeast,1986,1.0,5.0,0,42189,Multifamily Housing,Multifamily Housing,31756.0,80.0,47.66001,-122.32052,6.74,967082.0
5759,Multifamily LR (1-4),Low-Rise Multifamily,Westwood APTS,4,northeast,1985,1.0,4.0,0,84385,Multifamily Housing,Multifamily Housing,84385.0,98.0,47.66001,-122.32011000000001,12.27,1759374.25
5760,Multifamily LR (1-4),Low-Rise Multifamily,Maplewood Apartments,4,northeast,1985,1.0,4.0,0,30964,Multifamily Housing,Multifamily Housing,24000.0,95.0,47.65911,-122.32118999999999,4.01,574575.375
5761,Multifamily LR (1-4),Low-Rise Multifamily,53453 - Apex Apartments,4,northeast,1983,1.0,4.0,0,40090,Multifamily Housing,Multifamily Housing,34380.0,98.0,47.658640000000005,-122.32108999999998,6.42,921597.875
5762,Multifamily LR (1-4),Low-Rise Multifamily,Shannon Apartments,4,northeast,1987,1.0,4.0,0,31034,"Multifamily Housing, Parking",Multifamily Housing,22176.0,92.0,47.65809,-122.32117,4.63,664357.375
5763,Multifamily LR (1-4),Low-Rise Multifamily,Tremezzo Condominium,4,northeast,2000,1.0,3.0,0,29351,Multifamily Housing,Multifamily Housing,29351.0,81.0,47.665009999999995,-122.29562,4.95,709979.6875
5764,Multifamily MR (5-9),Mid-Rise Multifamily,TRIOCONDOS,7,downtown,2006,1.0,6.0,22541,108959,"Multifamily Housing, Parking",Multifamily Housing,113351.0,41.0,47.617979999999996,-122.35603,105.87,4423958.0
5765,Multifamily MR (5-9),Mid-Rise Multifamily,Triton Terrace,7,magnolia / queen anne,1963,1.0,8.0,0,29520,Multifamily Housing,Multifamily Housing,24600.0,15.0,47.624390000000005,-122.36386,70.31,1665662.5
5766,Multifamily MR (5-9),Mid-Rise Multifamily,Howard Park,4,lake union,2008,1.0,5.0,0,36600,Multifamily Housing,Multifamily Housing,30600.0,95.0,47.65862,-122.34192,23.15,956958.875
5767,Multifamily LR (1-4),Low-Rise Multifamily,CREST,3,east,1988,1.0,4.0,20059,34165,"Multifamily Housing, Parking",Multifamily Housing,34165.0,66.0,47.61759,-122.32758999999999,9.24,1325597.625
5768,Multifamily LR (1-4),Low-Rise Multifamily,LAUREN RENEE (ID25620),3,east,1914,1.0,4.0,0,20928,Multifamily Housing,Multifamily Housing,20928.0,83.0,47.61721,-122.3271,38.58,939413.625
5769,Multifamily LR (1-4),Low-Rise Multifamily,Waverly Place Condo,7,magnolia / queen anne,1990,1.0,4.0,4798,19740,"Multifamily Housing, Parking",Multifamily Housing,20752.0,,47.63766,-122.34213000000001,3.41,489557.0938
5770,Multifamily MR (5-9),Mid-Rise Multifamily,St. Theodore Apartments,4,northeast,1999,1.0,6.0,23180,48330,"Multifamily Housing, Parking",Multifamily Housing,43700.0,86.0,47.67539,-122.31843,61.18,2043592.625
5771,Multifamily MR (5-9),Mid-Rise Multifamily,Acton Apartments,4,northeast,1992,1.0,5.0,5668,24501,"Multifamily Housing, Parking, Retail Store",Multifamily Housing,18728.0,100.0,47.67426,-122.3177,2.74,392481.4063
5772,NonResidential,Medical Office,Seattle Healing Arts,4,northeast,1970,1.0,2.0,0,23595,Medical Office,Medical Office,23595.0,72.0,47.67437,-122.3181,6.53,817409.625
5773,Multifamily MR (5-9),Mid-Rise Multifamily,The Towers on Greenwood,6,northwest,2000,1.0,6.0,0,98486,"Multifamily Housing, Parking, Retail Store",Multifamily Housing,65726.0,,47.692,-122.35561000000001,15.9,2280976.5
5774,Multifamily LR (1-4),Low-Rise Multifamily,The Sedges at Piper Village,6,northwest,2008,1.0,3.0,0,52626,Multifamily Housing,Multifamily Housing,40727.0,58.0,47.691590000000005,-122.35732,7.56,1084474.875
5775,Multifamily MR (5-9),Mid-Rise Multifamily,Verse Seattle,3,central,2000,1.0,5.0,0,70161,Multifamily Housing,Multifamily Housing,77664.0,1.0,47.598240000000004,-122.30256000000001,136.94,5669431.0
5776,Multifamily LR (1-4),Low-Rise Multifamily,West Beach-425,1,southwest,1967,1.0,3.0,0,115819,Multifamily Housing,Multifamily Housing,51200.0,1.0,47.51169,-122.39435,75.07,3586479.25
5777,Multifamily MR (5-9),Mid-Rise Multifamily,The Seattle Quilt Building,7,downtown,1905,1.0,7.0,0,50120,"Multifamily Housing, Office, Retail Store",Multifamily Housing,22853.0,76.0,47.59946,-122.3338,8.61,1234813.25
5778,NonResidential,Small- and Mid-Sized Office,Herman Blumenthal Building,7,downtown,1900,1.0,3.0,0,28142,Office,Office,28142.0,96.0,47.59938,-122.33328,34.08,847097.8125
5779,NonResidential,Small- and Mid-Sized Office,The Occidental Building,7,downtown,1900,1.0,3.0,0,28760,"Non-Refrigerated Warehouse, Office, Retail Store",Office,12314.0,,47.599540000000005,-122.33327,124.59,2615973.5
5780,NonResidential,Small- and Mid-Sized Office,Union Trust Building,7,downtown,1902,1.0,4.0,0,39030,"Office, Retail Store",Office,32001.0,99.0,47.599790000000006,-122.33318,13.69,713326.875
5781,NonResidential,Small- and Mid-Sized Office,Buttnick City Loan,7,downtown,1909,0.0,3.0,0,47215,"Office, Retail Store",Office,23659.0,58.0,47.60071,-122.33377,63.81,2092696.0
5782,Nonresidential COS,Other,East Precinct,3,east,1926,1.0,2.0,27000,34580,"Other, Parking",Other,36280.0,,47.61492,-122.31728000000001,69.53,4199443.0
5783,NonResidential,Small- and Mid-Sized Office,Ballou Wright Building,3,east,1917,1.0,3.0,0,30720,"Office, Retail Store",Office,29720.0,,47.61459,-122.31723999999998,25.53,1288669.5
5784,NonResidential,Mixed Use Property,(ID25666) POST OPTIONS,3,east,1916,1.0,2.0,0,20640,"Office, Restaurant, Retail Store",Retail Store,9750.0,,47.61428,-122.31726,2.88,412562.4063
5785,NonResidential,Mixed Use Property,Pike Building,3,east,1912,1.0,2.0,0,34914,"Office, Restaurant, Retail Store",Retail Store,14983.0,,47.61421,-122.3193,9.29,1333289.625
5786,NonResidential,Small- and Mid-Sized Office,Legacy Pine Street,3,east,1906,1.0,3.0,0,20897,"Non-Refrigerated Warehouse, Office, Retail Store",Office,10228.0,,47.61508,-122.31845,17.79,964923.8125
5787,NonResidential,Retail Store,Capital Hill,3,east,1916,1.0,2.0,0,36940,Retail Store,Retail Store,36940.0,100.0,47.614779999999996,-122.31846999999999,2.35,336745.4063
5788,NonResidential,Small- and Mid-Sized Office,Ten Sixteen East Pike Inc,3,east,1913,1.0,3.0,0,22866,Office,Office,22866.0,,47.61435,-122.31858999999999,20.76,1153690.125
5789,NonResidential,Retail Store,The Ford Building,3,east,1920,1.0,1.0,0,30240,"Restaurant, Retail Store",Retail Store,32205.0,78.0,47.61466,-122.31983999999999,18.19,1264626.875
5790,NonResidential,Low-Rise Multifamily,(ID25674) COMET TAVERN,3,east,1910,1.0,3.0,0,32100,"Bar/Nightclub, Multifamily Housing",Multifamily Housing,21400.0,,47.61427,-122.31976999999999,5.22,108200.3984
5791,Multifamily LR (1-4),Low-Rise Multifamily,Roosevelt Apartments,3,east,1925,1.0,3.0,0,36148,"Multifamily Housing, Parking",Multifamily Housing,29513.0,67.0,47.61738,-122.31748999999999,100.49,2214604.25
5792,Multifamily LR (1-4),Low-Rise Multifamily,Ivy House Apartments,4,northeast,1990,1.0,4.0,0,24153,"Multifamily Housing, Parking",Multifamily Housing,16554.0,,47.659009999999995,-122.3201,2.9,416566.1875
5793,Multifamily LR (1-4),Low-Rise Multifamily,53455 - Kelsey,4,northeast,1986,1.0,4.0,12959,34373,Multifamily Housing,Multifamily Housing,33822.0,92.0,47.658590000000004,-122.31913,7.36,1056269.125
5794,NonResidential,Other,W00342,4,northeast,1962,1.0,2.0,0,28586,Other,Other,27022.0,,47.65729,-122.31936999999999,35.4,5078204.0
5795,Multifamily MR (5-9),Mid-Rise Multifamily,Portage Bay,4,northeast,1986,0.0,6.0,0,46689,"Multifamily Housing, Parking",Multifamily Housing,36589.0,96.0,47.65631,-122.3195,6.52,934621.1875
5796,Multifamily LR (1-4),Low-Rise Multifamily,Eastern Hotel,2,downtown,1909,1.0,4.0,0,33887,"Multifamily Housing, Other - Education, Other - Entertainment/Public Assembly, Other - Restaurant/Bar",Multifamily Housing,30387.0,12.0,47.59802,-122.32468,85.88,2473814.25
5797,NonResidential,Hotel,Weller & Second Associates,2,downtown,1908,1.0,3.0,0,28800,"Hotel, Restaurant",Hotel,21600.0,,47.59766,-122.32394,190.45,4644346.0
5798,Multifamily LR (1-4),Low-Rise Multifamily,GEE HOW OAK TIN,2,downtown,1907,1.0,3.0,0,25600,Multifamily Housing,Multifamily Housing,25600.0,45.0,47.597840000000005,-122.32394,59.08,1324534.625
5799,NonResidential,Restaurant,BUSH GARDEN - RESTURANT & LOUNGE,2,downtown,1913,1.0,3.0,0,28800,Restaurant,,,,47.59697,-122.32473999999999,29.21,899924.1875
5800,NonResidential,Small- and Mid-Sized Office,International Building,2,downtown,1979,1.0,3.0,0,35202,"Bank Branch, Office",Office,24227.0,2.0,47.59644,-122.32415,25.14,3605755.5
